title,authors,cover_url,description,tags,source_url
A Book of Set Theory,Charles C Pinter,http://books.google.com/books/content?id=iUT_AwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Accessible approach to set theory for upper-level undergraduates poses rigorous but simple arguments. Topics include classes and sets, functions, natural and cardinal numbers, arithmetic of ordinal numbers, and more. 1971 edition with new material by author.",Mathematics,https://play.google.com/store/books/details?id=iUT_AwAAQBAJ&source=gbs_api
A-level Mathematics Challenging Drill Questions (Yellowreef),Thomas Bond; Chris Hughes,http://books.google.com/books/content?id=824YAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"• questions from top schools & colleges since 2008 • exposes “surprise & trick” questions • complete answer keys • most efficient method of learning, hence saves time • arrange from easy-to-hard both by topics and question-types to facilitate easy absorption • full set of step-by-step solution approaches (available separately) • advanced trade book • complete and concise eBook editions available • also suitable for • Cambridge GCE AL (H1/H2) • Cambridge International A & AS Level • Books available for other subjects including Physics, Chemistry, Biology, Mathematics, Economics, English • Primary level, Secondary level, GCE O-level, GCE A-level, iGCSE, Cambridge A-level, Hong Kong DSE • visit www.yellowreef.com for sample chapters and more",Education,https://play.google.com/store/books/details?id=824YAgAAQBAJ&source=gbs_api
"Lexicon Tetraglotton, an English-French-Italian-Spanish Dictionary: Whereunto is Adjoined a Large Nomenclature of the Proper Terms (in All the Four) Belonging to Several Arts and Sciences ... Divided Into Fiftie Two Sections; with Another Volume of the Choicest Proverbs in All the Said Toungs, (consisting of Divers Compleat Tomes) and the English Translated Into the Other Three ... Moroever, There are Sundry Familiar Letters and Verses Running All in Proverbs ... By the Labours, and Lucubrations of James Hovvell",James Howell,http://books.google.com/books/content?id=-ON_W1ubAmoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,General,https://play.google.com/store/books/details?id=-ON_W1ubAmoC&source=gbs_api
Fundamentals of Probability: A First Course,Anirban DasGupta,http://books.google.com/books/content?id=uTtDAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Probability theory is one branch of mathematics that is simultaneously deep and immediately applicable in diverse areas of human endeavor. It is as fundamental as calculus. Calculus explains the external world, and probability theory helps predict a lot of it. In addition, problems in probability theory have an innate appeal, and the answers are often structured and strikingly beautiful. A solid background in probability theory and probability models will become increasingly more useful in the twenty-?rst century, as dif?cult new problems emerge, that will require more sophisticated models and analysis. Thisisa text onthe fundamentalsof thetheoryofprobabilityat anundergraduate or ?rst-year graduate level for students in science, engineering,and economics. The only mathematical background required is knowledge of univariate and multiva- ate calculus and basic linear algebra. The book covers all of the standard topics in basic probability, such as combinatorial probability, discrete and continuous distributions, moment generating functions, fundamental probability inequalities, the central limit theorem, and joint and conditional distributions of discrete and continuous random variables. But it also has some unique features and a forwa- looking feel.",Mathematics,https://play.google.com/store/books/details?id=uTtDAAAAQBAJ&source=gbs_api
Floods in a Changing Climate,P. P. Mujumdar; D. Nagesh Kumar,http://books.google.com/books/content?id=BZl7AAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Provides unique synthesis of various modeling methodologies used to aid planning and operational decision making, for academic researchers and professionals.",Mathematics,http://books.google.com/books?id=BZl7AAAAQBAJ&dq=a&hl=&as_pt=BOOKS&source=gbs_api
A Dictionary of Music and Musicians,George Grove,http://books.google.com/books/content?id=5I_q52-HJCYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,Music,https://play.google.com/store/books/details?id=5I_q52-HJCYC&source=gbs_api
A Scheme for the Detection of the More Common Classes of Carbon Compounds,Frank E. Weston,http://books.google.com/books/content?id=tMYwYAjKkCoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,Carbon compounds,https://play.google.com/store/books/details?id=tMYwYAjKkCoC&source=gbs_api
Floods in a Changing Climate,Giuliano Di Baldassarre,http://books.google.com/books/content?id=e8QgAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Flood inundation models enable us to make hazard predictions for floodplains, mitigating increasing flood fatalities and losses. This book provides an understanding of hydraulic modelling and floodplain dynamics, with a key focus on state-of-the-art remote sensing data, and methods to estimate and communicate uncertainty. Academic researchers in the fields of hydrology, climate change, environmental science and natural hazards, and professionals and policy-makers working in flood risk mitigation, hydraulic engineering and remote sensing will find this an invaluable resource. This volume is the third in a collection of four books on flood disaster management theory and practice within the context of anthropogenic climate change. The others are: Floods in a Changing Climate: Extreme Precipitation by Ramesh Teegavarapu, Floods in a Changing Climate: Hydrological Modeling by P. P. Mujumdar and D. Nagesh Kumar and Floods in a Changing Climate: Risk Management by Slodoban Simonović.",Science,https://play.google.com/store/books/details?id=e8QgAwAAQBAJ&source=gbs_api
A Study in the Psychology of Ritualism,Frederick Goodrich Henke,http://books.google.com/books/content?id=fh52A_Mx6BwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,Rites and ceremonies,https://play.google.com/store/books/details?id=fh52A_Mx6BwC&source=gbs_api
Free Trade in Land ... With a reprint of the ... pamphlet published by the Anti-Corn-Law League “The Constituional right to a revision of the Land Tax” ... Second edition,James Beal,http://books.google.com/books/content?id=a-xOnCp-3noC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,General,https://play.google.com/store/books/details?id=a-xOnCp-3noC&source=gbs_api
